T,x,y,z,vx,vy,vz,omega0,omega1,omega2,omega3,wx,wy,wz
126,6548844.98645893,974082.96212275,-0.243600510080695,-1143.24219350733,7674.46510320908,-0.00385966774183878,0.5,-0.5,-0.5,0.5,0,0,0
127,6547697.24077241,981756.755572745,-0.247475381937617,-1152.24891762055,7673.12003758409,-0.00389007508774627,0.5,-0.5,-0.5,0.5,0,0,0
128,6546540.48914964,989429.198679475,-0.251380658480528,-1161.25406394709,7671.76441701799,-0.00392047710689745,0.5,-0.5,-0.5,0.5,0,0,0
129,6545374.73317458,997100.280888954,-0.255316334361873,-1170.25762015376,7670.39824335042,-0.00395087375765463,0.5,-0.5,-0.5,0.5,0,0,0
130,6544199.97444349,1004769.99164904,-0.259282404192464,-1179.25957390957,7669.02151843532,-0.00398126499838765,0.5,-0.5,-0.5,0.5,0,0,0
131,6543016.214565,1012438.32040945,-0.263278862541483,-1188.25991288552,7667.63424414101,-0.00401165078747272,0.5,-0.5,-0.5,0.5,0,0,0
132,6541823.45516006,1020105.25662166,-0.267305703936424,-1197.25862475436,7666.23642235016,-0.00404203108329152,0.5,-0.5,-0.5,0.5,0,0,0
133,6540621.69786195,1027770.78973907,-0.271362922863183,-1206.25569719113,7664.82805495975,-0.00407240584423343,0.5,-0.5,-0.5,0.5,0,0,0
134,6539410.94431626,1035434.90921703,-0.275450513766073,-1215.25111787315,7663.40914388109,-0.0041027750286958,0.5,-0.5,-0.5,0.5,0,0,0
135,6538191.19618091,1043097.60451282,-0.279568471047828,-1224.24487448006,7661.97969103974,-0.00413313859508392,0.5,-0.5,-0.5,0.5,0,0,0
136,6536962.45512612,1050758.86508569,-0.2837167890696,-1233.23695469379,7660.53969837559,-0.00416349650181104,0.5,-0.5,-0.5,0.5,0,0,0
137,6535724.72283445,1058418.68039683,-0.287895462150962,-1242.22734619862,7659.08916784282,-0.00419384870729838,0.5,-0.5,-0.5,0.5,0,0,0
138,6534478.00100074,1066077.03990939,-0.292104484569912,-1251.21603668109,7657.62810140991,-0.00422419516997506,0.5,-0.5,-0.5,0.5,0,0,0
139,6533222.29133218,1073733.93308846,-0.296343850562863,-1260.20301382975,7656.15650105968,-0.00425453584827639,0.5,-0.5,-0.5,0.5,0,0,0
140,6531957.59554826,1081389.34940105,-0.300613554324602,-1269.18826533518,7654.67436878931,-0.0042848707006441,0.5,-0.5,-0.5,0.5,0,0,0
141,6530683.9153808,1089043.27831618,-0.304913590008392,-1278.17177889035,7653.18170661026,-0.00431519968552823,0.5,-0.5,-0.5,0.5,0,0,0
142,6529401.2525739,1096695.70930496,-0.309243951725976,-1287.15354219067,7651.67851654826,-0.00434552276138725,0.5,-0.5,-0.5,0.5,0,0,0
143,6528109.60888396,1104346.63184055,-0.313604633547576,-1296.13354293402,7650.16480064331,-0.00437583988668798,0.5,-0.5,-0.5,0.5,0,0,0
144,6526808.98607968,1111996.03539816,-0.317995629501894,-1305.11176882068,7648.64056094972,-0.00440615101990566,0.5,-0.5,-0.5,0.5,0,0,0
145,6525499.38594206,1119643.90945509,-0.322416933576112,-1314.08820755338,7647.10579953604,-0.00443645611952395,0.5,-0.5,-0.5,0.5,0,0,0
146,6524180.8102644,1127290.24349065,-0.326868539715878,-1323.06284683713,7645.56051848513,-0.00446675514403401,0.5,-0.5,-0.5,0.5,0,0,0
147,6522853.2608523,1134935.02698621,-0.331350441825308,-1332.03567437903,7644.00471989421,-0.00449704805193345,0.5,-0.5,-0.5,0.5,0,0,0
148,6521516.73952365,1142578.24942529,-0.335862633767043,-1341.00667788879,7642.43840587472,-0.00452733480172907,0.5,-0.5,-0.5,0.5,0,0,0
149,6520171.24810863,1150219.90029353,-0.340405109362237,-1349.97584507856,7640.86157855241,-0.00455761535193594,0.5,-0.5,-0.5,0.5,0,0,0
